"","CONGLOME","VIVIENDA","HOGAR","UBIGEO","DOMINIO","ESTRATO","FACTOR07","year","family_size","family_size_ame","fg_dairy_food_capita","fg_eggs_capita","fg_fruits_vegetable_other_capita","fg_fruits_vegetable_vita_capita","fg_grains_capita","fg_meatfish_capita","fg_milk_capita","fg_nuts_capita","fg_oil_capita","fg_other_capita","fg_root_capita","fbdg_ASF_capita","fbdg_dairy_capita","fbdg_fruit_capita","fbdg_oilfat_capita","fbdg_other_capita","fbdg_staple_legume_capita","fbdg_vegetable_capita","staple_legume_capita","rural_urban","department","region","area","department_name","year_treated","treated_status","treatment_group","income_net","P5566A","P5566C","juntos_participation","juntos_amount","fbdg_staple_legume_capita_score","fbdg_vegetable_capita_score","fbdg_fruit_capita_score","fbdg_dairy_capita_score","fbdg_ASF_capita_score","fbdg_oilfat_capita_score","fbdg_staple_legume_capita_score_optimal","fbdg_vegetable_capita_score_optimal","fbdg_fruit_capita_score_optimal","fbdg_dairy_capita_score_optimal","fbdg_ASF_capita_score_optimal","fbdg_oilfat_capita_score_optimal","fbdg_staple_legume_capita_log1p","fbdg_vegetable_capita_log1p","fbdg_fruit_capita_log1p","fbdg_dairy_capita_log1p","fbdg_ASF_capita_log1p","fbdg_oilfat_capita_log1p","fg_NA_capita","fbdg_NA_capita"
"51","2007_0003","029","11","010101",4,"2007_4",15.098,2007,4,3.57652173913043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",44755.6124429483,2,NA,"non_participant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2007_0003","029","11","010101",4,"2007_4",15.098,2007,4,3.57652173913043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",44755.6124429483,2,NA,"non_participant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2007_0003","029","11","010101",4,"2007_4",15.098,2007,4,3.57652173913043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",44755.6124429483,2,NA,"non_participant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2007_0003","072","11","010101",4,"2007_4",15.098,2007,8,6.44945652173913,NA,NA,7.24541235453063,NA,NA,NA,NA,NA,NA,24.8082919019129,10.3367882924637,NA,NA,NA,NA,24.8082919019129,10.3367882924637,7.24541235453063,10.3367882924637,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",29657.7892898053,2,NA,"non_participant",NA,3,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2.42805303882597,2.10965696743903,NA,NA,NA,NA,NA,NA
"55","2007_0003","072","11","010101",4,"2007_4",15.098,2007,8,6.44945652173913,NA,NA,7.24541235453063,NA,NA,NA,NA,NA,NA,24.8082919019129,10.3367882924637,NA,NA,NA,NA,24.8082919019129,10.3367882924637,7.24541235453063,10.3367882924637,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",29657.7892898053,2,NA,"non_participant",NA,3,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2.42805303882597,2.10965696743903,NA,NA,NA,NA,NA,NA
"56","2007_0003","072","11","010101",4,"2007_4",15.098,2007,8,6.44945652173913,NA,NA,7.24541235453063,NA,NA,NA,NA,NA,NA,24.8082919019129,10.3367882924637,NA,NA,NA,NA,24.8082919019129,10.3367882924637,7.24541235453063,10.3367882924637,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",29657.7892898053,2,NA,"non_participant",NA,3,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2.42805303882597,2.10965696743903,NA,NA,NA,NA,NA,NA
"57","2007_0003","072","11","010101",4,"2007_4",15.098,2007,8,6.44945652173913,NA,NA,7.24541235453063,NA,NA,NA,NA,NA,NA,24.8082919019129,10.3367882924637,NA,NA,NA,NA,24.8082919019129,10.3367882924637,7.24541235453063,10.3367882924637,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",29657.7892898053,2,NA,"non_participant",NA,3,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2.42805303882597,2.10965696743903,NA,NA,NA,NA,NA,NA
"58","2007_0003","072","11","010101",4,"2007_4",15.098,2007,8,6.44945652173913,NA,NA,7.24541235453063,NA,NA,NA,NA,NA,NA,24.8082919019129,10.3367882924637,NA,NA,NA,NA,24.8082919019129,10.3367882924637,7.24541235453063,10.3367882924637,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",29657.7892898053,2,NA,"non_participant",NA,3,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2.42805303882597,2.10965696743903,NA,NA,NA,NA,NA,NA
"59","2007_0003","072","11","010101",4,"2007_4",15.098,2007,8,6.44945652173913,NA,NA,7.24541235453063,NA,NA,NA,NA,NA,NA,24.8082919019129,10.3367882924637,NA,NA,NA,NA,24.8082919019129,10.3367882924637,7.24541235453063,10.3367882924637,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",29657.7892898053,1,100,"participant",100,3,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2.42805303882597,2.10965696743903,NA,NA,NA,NA,NA,NA
"60","2007_0003","085","11","010101",4,"2007_4",15.098,2007,3,2.67391304347826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",19876.995490216,2,NA,"non_participant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
