code_num,code_raw,freq,label_text
3710,3710,23569,NA
4205,4205,22089,NA
3010,3010,20258,NA
4107,4107,18561,NA
3711,3711,17898,NA
3011,3011,15153,NA
4206,4206,13887,NA
3712,3712,12651,NA
3012,3012,11245,NA
4003,4003,10597,NA
4108,4108,10040,NA
1609,1609,10008,NA
2011,2011,9158,NA
1506,1506,8881,NA
3106,3106,8381,NA
3713,3713,8336,NA
3013,3013,8024,NA
108,0108,7846,NA
206,0206,7774,NA
4207,4207,7530,NA
506,0506,7284,NA
2904,2904,6963,NA
704,0704,6789,NA
4806,4806,6600,NA
4706,4706,5843,NA
1804,1804,5627,NA
3014,3014,5519,NA
3714,3714,5157,NA
4109,4109,5111,NA
5005,5005,4954,NA
1107,1107,4784,NA
2105,2105,4088,NA
4904,4904,4041,NA
1610,1610,3816,NA
2305,2305,3672,NA
3015,3015,3670,NA
3606,3606,3651,NA
4603,4603,3583,NA
4208,4208,3438,NA
3715,3715,3049,NA
2012,2012,2643,NA
5006,5006,2636,NA
305,0305,2513,NA
407,0407,2475,NA
4110,4110,2473,NA
3904,3904,2471,NA
3016,3016,2349,NA
810,0810,2340,NA
4305,4305,2021,NA
907,0907,1960,NA
3107,3107,1841,NA
1404,1404,1834,NA
2405,2405,1823,NA
4807,4807,1769,NA
3716,3716,1716,NA
2205,2205,1693,NA
4707,4707,1673,NA
1611,1611,1516,NA
3404,3404,1462,NA
4209,4209,1462,NA
1507,1507,1445,NA
3017,3017,1431,NA
207,0207,1427,NA
5007,5007,1385,NA
4406,4406,1302,NA
507,0507,1241,NA
4111,4111,1192,NA
3802,3802,1163,NA
4004,4004,1163,NA
109,0109,1096,NA
1703,1703,990,NA
3717,3717,956,NA
3018,3018,883,NA
3503,3503,873,NA
2013,2013,854,NA
4905,4905,838,NA
4604,4604,769,NA
1805,1805,711,NA
2905,2905,710,NA
4708,4708,641,NA
1405,1405,606,NA
5008,5008,592,NA
3607,3607,576,NA
4210,4210,553,NA
1612,1612,548,NA
4112,4112,542,NA
1002,1002,509,NA
3718,3718,509,NA
4808,4808,506,NA
1108,1108,482,NA
3108,3108,353,NA
1406,1406,346,NA
5009,5009,296,NA
4113,4113,290,NA
811,0811,262,NA
208,0208,259,NA
4605,4605,248,NA
2014,2014,244,NA
1407,1407,238,NA
2206,2206,227,NA
4211,4211,211,NA
603,0603,209,NA
2306,2306,198,NA
508,0508,185,NA
4906,4906,180,NA
1613,1613,179,NA
2106,2106,179,NA
408,0408,172,NA
1905,1905,172,NA
4306,4306,171,NA
4809,4809,166,NA
2703,2703,160,NA
4114,4114,160,NA
1408,1408,153,NA
110,0110,146,NA
4709,4709,144,NA
1508,1508,120,NA
3905,3905,116,NA
908,0908,105,NA
1704,1704,98,NA
2906,2906,96,NA
3304,3304,86,NA
705,0705,84,NA
1409,1409,81,NA
3204,3204,81,NA
1806,1806,77,NA
4212,4212,77,NA
4606,4606,73,NA
4115,4115,69,NA
2015,2015,66,NA
1109,1109,65,NA
209,0209,63,NA
4005,4005,63,NA
812,0812,60,NA
3109,3109,56,NA
1614,1614,51,NA
4810,4810,50,NA
3608,3608,49,NA
509,0509,45,NA
4710,4710,44,NA
2406,2406,43,NA
3405,3405,40,NA
4907,4907,38,NA
4116,4116,35,NA
2804,2804,30,NA
4407,4407,30,NA
1003,1003,28,NA
4213,4213,28,NA
1410,1410,27,NA
2207,2207,26,NA
813,0813,23,NA
111,0111,22,NA
306,0306,21,NA
4607,4607,21,NA
2016,2016,19,NA
4502,4502,19,NA
4117,4117,18,NA
4307,4307,17,NA
4711,4711,17,NA
4811,4811,16,NA
814,0814,15,NA
510,0510,14,NA
1110,1110,14,NA
1807,1807,14,NA
3019,3019,14,NA
409,0409,13,NA
4214,4214,12,NA
4908,4908,12,NA
210,0210,11,NA
909,0909,11,NA
815,0815,10,NA
4118,4118,9,NA
4712,4712,9,NA
1615,1615,8,NA
1411,1411,7,NA
1509,1509,7,NA
2107,2107,7,NA
2503,2503,7,NA
3110,3110,7,NA
2208,2208,6,NA
4812,4812,6,NA
2307,2307,5,NA
2704,2704,5,NA
4006,4006,5,NA
4215,4215,5,NA
4608,4608,5,NA
211,0211,4,NA
410,0410,4,NA
816,0816,4,NA
1111,1111,4,NA
1412,1412,4,NA
2603,2603,4,NA
511,0511,3,NA
1705,1705,3,NA
1808,1808,3,NA
2017,2017,3,NA
3504,3504,3,NA
3609,3609,3,NA
3803,3803,3,NA
4713,4713,3,NA
112,0112,2,NA
817,0817,2,NA
910,0910,2,NA
1510,1510,2,NA
1616,1616,2,NA
2209,2209,2,NA
2407,2407,2,NA
3111,3111,2,NA
4216,4216,2,NA
4308,4308,2,NA
212,0212,1,NA
307,0307,1,NA
512,0512,1,NA
604,0604,1,NA
1004,1004,1,NA
1413,1413,1,NA
1414,1414,1,NA
1415,1415,1,NA
1617,1617,1,NA
2018,2018,1,NA
2210,2210,1,NA
2308,2308,1,NA
2705,2705,1,NA
2907,2907,1,NA
3205,3205,1,NA
3719,3719,1,NA
3906,3906,1,NA
4217,4217,1,NA
4309,4309,1,NA
4408,4408,1,NA
4609,4609,1,NA
4813,4813,1,NA
4909,4909,1,NA
4910,4910,1,NA
