code_num,code_raw,freq,label_text
3710,3710,16039,NA
4205,4205,13702,NA
3010,3010,13644,NA
3711,3711,11445,NA
4107,4107,11098,NA
3011,3011,9581,NA
3712,3712,7560,NA
4206,4206,7346,NA
3012,3012,6683,NA
4003,4003,6134,NA
1609,1609,5895,NA
3106,3106,5746,NA
2011,2011,5104,NA
1506,1506,5059,NA
4108,4108,4820,NA
3013,3013,4448,NA
3713,3713,4418,NA
206,0206,4323,NA
5005,5005,4277,NA
4806,4806,3805,NA
4706,4706,3524,NA
2904,2904,3522,NA
506,0506,3517,NA
108,0108,3324,NA
4207,4207,3109,NA
1804,1804,2741,NA
4904,4904,2671,NA
3014,3014,2651,NA
1107,1107,2642,NA
3714,3714,2427,NA
5006,5006,2401,NA
1610,1610,2100,NA
3606,3606,2096,NA
4109,4109,1903,NA
2105,2105,1819,NA
4603,4603,1594,NA
810,0810,1553,NA
3015,3015,1546,NA
4305,4305,1487,NA
1404,1404,1413,NA
2012,2012,1395,NA
3904,3904,1335,NA
2305,2305,1262,NA
3107,3107,1239,NA
3715,3715,1221,NA
5007,5007,1166,NA
4707,4707,992,NA
3016,3016,845,NA
4807,4807,839,NA
4406,4406,834,NA
907,0907,788,NA
2405,2405,759,NA
4110,4110,754,NA
2205,2205,736,NA
3404,3404,708,NA
4208,4208,702,NA
1611,1611,659,NA
207,0207,635,NA
3716,3716,596,NA
4004,4004,545,NA
4905,4905,539,NA
5008,5008,539,NA
1703,1703,538,NA
3802,3802,512,NA
1507,1507,502,NA
2013,2013,435,NA
507,0507,430,NA
1405,1405,423,NA
305,0305,365,NA
4708,4708,350,NA
3017,3017,323,NA
109,0109,312,NA
2905,2905,285,NA
3607,3607,284,NA
4111,4111,284,NA
3717,3717,282,NA
5009,5009,264,NA
3503,3503,256,NA
1002,1002,246,NA
1406,1406,241,NA
4604,4604,230,NA
1805,1805,215,NA
1108,1108,211,NA
3108,3108,205,NA
4808,4808,167,NA
3018,3018,162,NA
811,0811,160,NA
4209,4209,147,NA
1407,1407,138,NA
2014,2014,122,NA
3718,3718,119,NA
4306,4306,113,NA
4906,4906,113,NA
1408,1408,107,NA
704,0704,101,NA
1612,1612,98,NA
1409,1409,95,NA
4112,4112,95,NA
2206,2206,90,NA
407,0407,68,NA
3905,3905,68,NA
3204,3204,66,NA
3019,3019,62,NA
4709,4709,62,NA
2703,2703,58,NA
2106,2106,56,NA
208,0208,55,NA
4605,4605,54,NA
1704,1704,48,NA
4113,4113,40,NA
4809,4809,40,NA
3719,3719,34,NA
4502,4502,33,NA
812,0812,29,NA
3109,3109,29,NA
908,0908,26,NA
4907,4907,26,NA
1508,1508,25,NA
1806,1806,24,NA
4210,4210,24,NA
2015,2015,23,NA
2906,2906,23,NA
3304,3304,21,NA
4005,4005,20,NA
4407,4407,20,NA
110,0110,19,NA
603,0603,19,NA
1003,1003,19,NA
2306,2306,19,NA
508,0508,18,NA
4114,4114,18,NA
4710,4710,18,NA
1109,1109,17,NA
2406,2406,16,NA
2503,2503,15,NA
1613,1613,13,NA
408,0408,10,NA
4810,4810,10,NA
2207,2207,9,NA
1905,1905,8,NA
4307,4307,8,NA
3608,3608,7,NA
306,0306,6,NA
2016,2016,6,NA
2804,2804,6,NA
4115,4115,6,NA
209,0209,5,NA
3110,3110,5,NA
4711,4711,5,NA
4908,4908,5,NA
409,0409,4,NA
1705,1705,4,NA
3405,3405,4,NA
3906,3906,4,NA
4006,4006,4,NA
4211,4211,4,NA
4606,4606,4,NA
813,0813,3,NA
705,0705,2,NA
2407,2407,2,NA
4116,4116,2,NA
4117,4117,2,NA
4712,4712,2,NA
4811,4811,2,NA
4909,4909,2,NA
111,0111,1,NA
210,0210,1,NA
509,0509,1,NA
1004,1004,1,NA
1110,1110,1,NA
1202,1202,1,NA
1410,1410,1,NA
1509,1509,1,NA
1510,1510,1,NA
1614,1614,1,NA
1807,1807,1,NA
2107,2107,1,NA
2208,2208,1,NA
2704,2704,1,NA
3803,3803,1,NA
4118,4118,1,NA
4308,4308,1,NA
4503,4503,1,NA
4607,4607,1,NA
4812,4812,1,NA
4813,4813,1,NA
4910,4910,1,NA
