code_num,code_raw,freq,label_text
3710,3710,16785,NA
4205,4205,14823,NA
3010,3010,14317,NA
4107,4107,12750,NA
3711,3711,12558,NA
3011,3011,10668,NA
3712,3712,8757,NA
4206,4206,8241,NA
3012,3012,7732,NA
4003,4003,7231,NA
1609,1609,6982,NA
4108,4108,6491,NA
1506,1506,6364,NA
206,0206,5857,NA
3106,3106,5853,NA
2011,2011,5792,NA
3713,3713,5708,NA
108,0108,5697,NA
3013,3013,5439,NA
5005,5005,5254,NA
4706,4706,5116,NA
4806,4806,4871,NA
506,0506,4596,NA
2904,2904,4173,NA
1107,1107,3777,NA
4207,4207,3758,NA
1804,1804,3721,NA
2105,2105,3674,NA
3014,3014,3499,NA
3714,3714,3408,NA
4904,4904,3211,NA
5006,5006,3207,NA
4109,4109,2952,NA
1610,1610,2847,NA
3606,3606,2568,NA
4603,4603,2528,NA
3015,3015,2213,NA
4305,4305,1912,NA
3715,3715,1902,NA
810,0810,1849,NA
2305,2305,1849,NA
4707,4707,1806,NA
3904,3904,1787,NA
704,0704,1752,NA
2012,2012,1684,NA
1404,1404,1660,NA
5007,5007,1637,NA
3107,3107,1403,NA
4807,4807,1394,NA
407,0407,1336,NA
3016,3016,1312,NA
4110,4110,1292,NA
4406,4406,1208,NA
207,0207,1173,NA
1611,1611,1148,NA
907,0907,1143,NA
4208,4208,1126,NA
2405,2405,1124,NA
2205,2205,1001,NA
3716,3716,989,NA
4004,4004,912,NA
1507,1507,899,NA
3404,3404,858,NA
5008,5008,811,NA
305,0305,773,NA
1703,1703,749,NA
4905,4905,749,NA
109,0109,740,NA
4708,4708,690,NA
3017,3017,680,NA
507,0507,676,NA
3802,3802,563,NA
4111,4111,553,NA
2013,2013,504,NA
3717,3717,500,NA
1405,1405,489,NA
4604,4604,437,NA
2905,2905,429,NA
1108,1108,423,NA
3018,3018,415,NA
1805,1805,395,NA
3607,3607,395,NA
5009,5009,395,NA
4808,4808,352,NA
1612,1612,350,NA
3503,3503,343,NA
4209,4209,315,NA
3108,3108,293,NA
1406,1406,243,NA
3718,3718,228,NA
4306,4306,186,NA
208,0208,185,NA
1002,1002,185,NA
4112,4112,180,NA
1905,1905,177,NA
2106,2106,177,NA
4709,4709,173,NA
4906,4906,170,NA
811,0811,162,NA
2014,2014,141,NA
1407,1407,127,NA
4605,4605,111,NA
2206,2206,109,NA
2703,2703,109,NA
1613,1613,106,NA
3019,3019,103,NA
4809,4809,97,NA
3905,3905,96,NA
1704,1704,82,NA
408,0408,73,NA
1408,1408,73,NA
4113,4113,70,NA
110,0110,66,NA
1508,1508,65,NA
4210,4210,60,NA
908,0908,58,NA
4710,4710,57,NA
1409,1409,54,NA
4407,4407,52,NA
3109,3109,50,NA
1109,1109,49,NA
4502,4502,48,NA
3719,3719,45,NA
1806,1806,43,NA
2015,2015,40,NA
2306,2306,37,NA
3204,3204,37,NA
705,0705,36,NA
4005,4005,36,NA
4907,4907,36,NA
3304,3304,33,NA
508,0508,31,NA
603,0603,31,NA
4114,4114,31,NA
3608,3608,30,NA
209,0209,29,NA
1614,1614,29,NA
812,0812,28,NA
4606,4606,28,NA
4307,4307,23,NA
2406,2406,22,NA
4810,4810,21,NA
2906,2906,20,NA
2503,2503,18,NA
4711,4711,17,NA
4908,4908,16,NA
2207,2207,12,NA
4115,4115,12,NA
4211,4211,12,NA
2016,2016,11,NA
3405,3405,10,NA
111,0111,9,NA
409,0409,8,NA
1110,1110,8,NA
3110,3110,8,NA
1509,1509,7,NA
1906,1906,7,NA
4116,4116,7,NA
210,0210,6,NA
1003,1003,6,NA
4712,4712,6,NA
4811,4811,6,NA
813,0813,5,NA
1615,1615,5,NA
1705,1705,5,NA
4909,4909,5,NA
306,0306,4,NA
2107,2107,4,NA
2407,2407,4,NA
4607,4607,4,NA
909,0909,3,NA
2017,2017,3,NA
4212,4212,3,NA
4308,4308,3,NA
509,0509,2,NA
2018,2018,2,NA
2208,2208,2,NA
3803,3803,2,NA
4117,4117,2,NA
4713,4713,2,NA
4714,4714,2,NA
4715,4715,2,NA
211,0211,1,NA
410,0410,1,NA
706,0706,1,NA
1004,1004,1,NA
1111,1111,1,NA
1807,1807,1,NA
1808,1808,1,NA
2019,2019,1,NA
2108,2108,1,NA
2307,2307,1,NA
2603,2603,1,NA
2704,2704,1,NA
2804,2804,1,NA
4006,4006,1,NA
4213,4213,1,NA
4214,4214,1,NA
4215,4215,1,NA
4309,4309,1,NA
4408,4408,1,NA
4503,4503,1,NA
4504,4504,1,NA
4608,4608,1,NA
4812,4812,1,NA
4910,4910,1,NA
4911,4911,1,NA
