code_num,code_raw,freq,label_text
3710,3710,16551,NA
4205,4205,14388,NA
3010,3010,13398,NA
3711,3711,11863,NA
4107,4107,10459,NA
3011,3011,9373,NA
3712,3712,7792,NA
4206,4206,7371,NA
3012,3012,6513,NA
3106,3106,6490,NA
4003,4003,6283,NA
1609,1609,6019,NA
2011,2011,5312,NA
1506,1506,5133,NA
3713,3713,4680,NA
4108,4108,4437,NA
3013,3013,4291,NA
206,206,3996,NA
4806,4806,3851,NA
5005,5005,3386,NA
2904,2904,3384,NA
4706,4706,3167,NA
108,108,3076,NA
4207,4207,3072,NA
506,506,2979,NA
1107,1107,2597,NA
4904,4904,2591,NA
3714,3714,2562,NA
1804,1804,2516,NA
3014,3014,2464,NA
1610,1610,2207,NA
3606,3606,2007,NA
810,810,1788,NA
4109,4109,1763,NA
5006,5006,1745,NA
4305,4305,1619,NA
3107,3107,1553,NA
2012,2012,1531,NA
1404,1404,1517,NA
3015,3015,1430,NA
3904,3904,1386,NA
4603,4603,1350,NA
2105,2105,1275,NA
3715,3715,1270,NA
2305,2305,1162,NA
4406,4406,875,NA
4807,4807,848,NA
4707,4707,841,NA
907,907,840,NA
2405,2405,809,NA
3404,3404,794,NA
5007,5007,783,NA
2205,2205,781,NA
3016,3016,748,NA
4110,4110,695,NA
1611,1611,689,NA
4208,4208,684,NA
3716,3716,603,NA
1703,1703,540,NA
4905,4905,529,NA
207,207,517,NA
1507,1507,492,NA
4004,4004,486,NA
3802,3802,482,NA
2013,2013,448,NA
1405,1405,446,NA
5008,5008,359,NA
507,507,333,NA
3017,3017,330,NA
4708,4708,306,NA
305,305,302,NA
3108,3108,290,NA
4111,4111,288,NA
109,109,285,NA
3717,3717,281,NA
2905,2905,266,NA
1406,1406,252,NA
3607,3607,237,NA
1108,1108,229,NA
3503,3503,219,NA
1002,1002,216,NA
1805,1805,204,NA
811,811,189,NA
1612,1612,187,NA
4808,4808,176,NA
5009,5009,175,NA
3018,3018,167,NA
1407,1407,148,NA
4209,4209,148,NA
4604,4604,143,NA
704,704,134,NA
4306,4306,126,NA
1408,1408,115,NA
3718,3718,114,NA
4906,4906,112,NA
2014,2014,111,NA
1409,1409,108,NA
4112,4112,88,NA
3905,3905,86,NA
2703,2703,82,NA
1613,1613,80,NA
3019,3019,80,NA
3204,3204,79,NA
2206,2206,66,NA
208,208,62,NA
1704,1704,60,NA
812,812,42,NA
1614,1614,42,NA
407,407,41,NA
3109,3109,41,NA
4809,4809,41,NA
908,908,37,NA
4502,4502,36,NA
4113,4113,34,NA
4210,4210,34,NA
2106,2106,33,NA
3719,3719,33,NA
1508,1508,32,NA
4709,4709,32,NA
603,603,31,NA
1003,1003,25,NA
1806,1806,25,NA
4005,4005,24,NA
2306,2306,23,NA
1109,1109,22,NA
4407,4407,20,NA
4605,4605,20,NA
4907,4907,20,NA
110,110,19,NA
3304,3304,19,NA
508,508,17,NA
2015,2015,16,NA
2906,2906,15,NA
4114,4114,14,NA
4810,4810,14,NA
1615,1615,12,NA
306,306,11,NA
1905,1905,10,NA
2207,2207,9,NA
2603,2603,8,NA
4710,4710,8,NA
2406,2406,7,NA
3405,3405,7,NA
3608,3608,7,NA
4115,4115,7,NA
4307,4307,7,NA
209,209,6,NA
2503,2503,6,NA
1004,1004,5,NA
4211,4211,5,NA
2804,2804,4,NA
3906,3906,4,NA
3110,3110,3,NA
4711,4711,3,NA
408,408,2,NA
705,705,2,NA
813,813,2,NA
909,909,2,NA
1202,1202,2,NA
1509,1509,2,NA
1705,1705,2,NA
2016,2016,2,NA
2107,2107,2,NA
4811,4811,2,NA
4908,4908,2,NA
4909,4909,2,NA
4910,4910,2,NA
111,111,1,NA
814,814,1,NA
1110,1110,1,NA
1302,1302,1,NA
1410,1410,1,NA
1616,1616,1,NA
1807,1807,1,NA
1906,1906,1,NA
2017,2017,1,NA
2018,2018,1,NA
2108,2108,1,NA
2407,2407,1,NA
2704,2704,1,NA
4308,4308,1,NA
4606,4606,1,NA
4607,4607,1,NA
4812,4812,1,NA
4911,4911,1,NA
