code_num,code_raw,freq,label_text
3710,3710,16566,NA
4205,4205,14529,NA
3010,3010,14171,NA
3711,3711,12191,NA
4107,4107,11670,NA
3011,3011,10031,NA
3712,3712,8233,NA
4206,4206,7880,NA
3012,3012,7060,NA
4003,4003,6785,NA
1609,1609,6441,NA
2011,2011,5919,NA
3106,3106,5855,NA
4108,4108,5294,NA
1506,1506,5287,NA
3713,3713,5129,NA
206,0206,4941,NA
5005,5005,4753,NA
3013,3013,4744,NA
4806,4806,4333,NA
4706,4706,4257,NA
108,0108,4162,NA
506,0506,4024,NA
2904,2904,3964,NA
4207,4207,3432,NA
1804,1804,3290,NA
1107,1107,3084,NA
4904,4904,2920,NA
3714,3714,2905,NA
3014,3014,2846,NA
5006,5006,2811,NA
2105,2105,2781,NA
1610,1610,2499,NA
3606,3606,2342,NA
4109,4109,2240,NA
4603,4603,2092,NA
3015,3015,1702,NA
810,0810,1663,NA
2012,2012,1650,NA
4305,4305,1616,NA
3715,3715,1564,NA
2305,2305,1482,NA
3904,3904,1447,NA
1404,1404,1436,NA
5007,5007,1396,NA
4707,4707,1307,NA
3107,3107,1274,NA
4807,4807,1058,NA
2405,2405,1023,NA
1611,1611,969,NA
3016,3016,966,NA
407,0407,954,NA
4406,4406,937,NA
4110,4110,930,NA
4208,4208,924,NA
907,0907,865,NA
2205,2205,855,NA
207,0207,792,NA
3716,3716,767,NA
4004,4004,724,NA
3404,3404,716,NA
1703,1703,644,NA
5008,5008,640,NA
4905,4905,618,NA
3802,3802,607,NA
1507,1507,591,NA
2013,2013,561,NA
4708,4708,520,NA
305,0305,517,NA
507,0507,426,NA
1405,1405,415,NA
109,0109,410,NA
3017,3017,402,NA
3717,3717,383,NA
4111,4111,378,NA
1805,1805,335,NA
4604,4604,329,NA
2905,2905,325,NA
3607,3607,311,NA
1108,1108,307,NA
5009,5009,305,NA
3503,3503,275,NA
1612,1612,254,NA
3108,3108,241,NA
4808,4808,241,NA
3018,3018,231,NA
1406,1406,218,NA
4209,4209,190,NA
811,0811,182,NA
1002,1002,173,NA
3718,3718,171,NA
2014,2014,162,NA
704,0704,141,NA
4906,4906,140,NA
2106,2106,128,NA
1407,1407,126,NA
4306,4306,125,NA
4112,4112,120,NA
1905,1905,117,NA
2206,2206,115,NA
3019,3019,112,NA
4709,4709,103,NA
208,0208,99,NA
2703,2703,96,NA
1408,1408,94,NA
1409,1409,83,NA
1704,1704,72,NA
1613,1613,70,NA
3204,3204,58,NA
3905,3905,58,NA
4605,4605,56,NA
4809,4809,55,NA
3719,3719,54,NA
4113,4113,53,NA
2015,2015,48,NA
4210,4210,43,NA
1508,1508,41,NA
812,0812,40,NA
408,0408,38,NA
1806,1806,38,NA
3109,3109,35,NA
2906,2906,31,NA
3304,3304,30,NA
4502,4502,30,NA
4407,4407,29,NA
4907,4907,29,NA
908,0908,27,NA
4710,4710,27,NA
110,0110,24,NA
1109,1109,24,NA
4005,4005,24,NA
508,0508,21,NA
2306,2306,19,NA
4114,4114,18,NA
209,0209,16,NA
1003,1003,16,NA
2503,2503,15,NA
603,0603,14,NA
2207,2207,14,NA
2016,2016,13,NA
4307,4307,12,NA
4606,4606,12,NA
4810,4810,12,NA
3608,3608,11,NA
1614,1614,10,NA
3405,3405,10,NA
4711,4711,8,NA
4908,4908,8,NA
2406,2406,7,NA
306,0306,5,NA
4115,4115,5,NA
813,0813,4,NA
1509,1509,4,NA
4211,4211,4,NA
4811,4811,4,NA
4909,4909,4,NA
210,0210,3,NA
705,0705,3,NA
1004,1004,3,NA
1807,1807,3,NA
2017,2017,3,NA
2107,2107,3,NA
4712,4712,3,NA
909,0909,2,NA
1110,1110,2,NA
1615,1615,2,NA
1705,1705,2,NA
4308,4308,2,NA
4713,4713,2,NA
604,0604,1,NA
1510,1510,1,NA
1906,1906,1,NA
2018,2018,1,NA
2019,2019,1,NA
2208,2208,1,NA
2209,2209,1,NA
2704,2704,1,NA
2804,2804,1,NA
3110,3110,1,NA
3609,3609,1,NA
3803,3803,1,NA
3906,3906,1,NA
4006,4006,1,NA
4116,4116,1,NA
4117,4117,1,NA
4118,4118,1,NA
4212,4212,1,NA
4607,4607,1,NA
4608,4608,1,NA
4910,4910,1,NA
