code_num,code_raw,freq,label_text
3710,3710,22953,NA
4205,4205,21797,NA
3010,3010,19927,NA
4107,4107,18585,NA
3711,3711,16976,NA
3011,3011,14556,NA
4206,4206,13147,NA
3712,3712,11702,NA
3012,3012,10552,NA
4003,4003,9976,NA
4108,4108,9882,NA
1609,1609,9794,NA
2011,2011,9085,NA
1506,1506,8501,NA
3106,3106,8390,NA
206,0206,8105,NA
108,0108,7724,NA
3013,3013,7496,NA
3713,3713,7488,NA
506,0506,7346,NA
2904,2904,6863,NA
4806,4806,6648,NA
4207,4207,6624,NA
704,0704,6498,NA
4706,4706,6065,NA
1804,1804,5553,NA
5005,5005,5205,NA
1107,1107,5015,NA
3014,3014,4992,NA
4109,4109,4835,NA
3714,3714,4463,NA
4904,4904,4101,NA
2105,2105,4006,NA
1610,1610,3864,NA
3606,3606,3608,NA
4603,4603,3548,NA
3015,3015,3309,NA
2305,2305,3299,NA
4208,4208,2720,NA
5006,5006,2665,NA
2012,2012,2592,NA
3904,3904,2580,NA
3715,3715,2533,NA
810,0810,2477,NA
407,0407,2403,NA
4305,4305,2271,NA
4110,4110,2237,NA
1404,1404,2097,NA
3016,3016,2074,NA
907,0907,2015,NA
2405,2405,1861,NA
3107,3107,1818,NA
4707,4707,1751,NA
2205,2205,1667,NA
4807,4807,1657,NA
305,0305,1631,NA
1611,1611,1515,NA
207,0207,1459,NA
4406,4406,1415,NA
3404,3404,1385,NA
5007,5007,1334,NA
3716,3716,1309,NA
507,0507,1301,NA
1507,1507,1286,NA
3017,3017,1264,NA
1703,1703,1133,NA
3802,3802,1127,NA
109,0109,1084,NA
4111,4111,1054,NA
4209,4209,989,NA
4004,4004,930,NA
3503,3503,840,NA
2013,2013,816,NA
4905,4905,807,NA
3018,3018,764,NA
4604,4604,715,NA
1805,1805,677,NA
3717,3717,648,NA
1405,1405,641,NA
4708,4708,617,NA
2905,2905,616,NA
5008,5008,550,NA
1612,1612,548,NA
1108,1108,512,NA
3607,3607,507,NA
1002,1002,501,NA
4112,4112,489,NA
4808,4808,481,NA
1406,1406,371,NA
4210,4210,348,NA
3108,3108,343,NA
3718,3718,313,NA
811,0811,283,NA
208,0208,276,NA
4113,4113,265,NA
5009,5009,265,NA
1407,1407,247,NA
2014,2014,242,NA
4605,4605,217,NA
1905,1905,204,NA
2206,2206,201,NA
508,0508,194,NA
2106,2106,185,NA
4306,4306,184,NA
1613,1613,180,NA
408,0408,172,NA
2306,2306,162,NA
4809,4809,159,NA
4906,4906,155,NA
1408,1408,148,NA
4114,4114,146,NA
1508,1508,129,NA
2703,2703,129,NA
110,0110,128,NA
603,0603,128,NA
4211,4211,125,NA
4709,4709,122,NA
908,0908,115,NA
1704,1704,104,NA
3905,3905,92,NA
705,0705,83,NA
3304,3304,81,NA
812,0812,75,NA
2015,2015,74,NA
1806,1806,73,NA
4115,4115,73,NA
2906,2906,68,NA
1614,1614,64,NA
4606,4606,63,NA
1409,1409,60,NA
209,0209,57,NA
1109,1109,57,NA
4005,4005,55,NA
3109,3109,54,NA
4810,4810,54,NA
3204,3204,51,NA
509,0509,43,NA
4907,4907,43,NA
4710,4710,42,NA
4116,4116,40,NA
4212,4212,40,NA
2406,2406,38,NA
2016,2016,36,NA
3608,3608,33,NA
3405,3405,31,NA
4407,4407,31,NA
813,0813,26,NA
1410,1410,24,NA
2207,2207,21,NA
2804,2804,21,NA
4117,4117,21,NA
1003,1003,20,NA
3019,3019,20,NA
4502,4502,20,NA
4811,4811,19,NA
4307,4307,18,NA
210,0210,15,NA
1615,1615,15,NA
306,0306,14,NA
2017,2017,14,NA
409,0409,13,NA
4118,4118,13,NA
4607,4607,13,NA
4711,4711,12,NA
814,0814,11,NA
2107,2107,11,NA
2503,2503,11,NA
4213,4213,11,NA
111,0111,10,NA
1509,1509,9,NA
1807,1807,9,NA
3110,3110,9,NA
909,0909,8,NA
2307,2307,8,NA
4812,4812,8,NA
4908,4908,8,NA
510,0510,7,NA
1411,1411,7,NA
2018,2018,7,NA
2603,2603,7,NA
1705,1705,6,NA
4712,4712,6,NA
211,0211,4,NA
706,0706,4,NA
1110,1110,4,NA
3609,3609,4,NA
3803,3803,4,NA
4608,4608,4,NA
212,0212,3,NA
1004,1004,3,NA
1616,1616,3,NA
2407,2407,3,NA
4214,4214,3,NA
4713,4713,3,NA
4813,4813,3,NA
4909,4909,3,NA
4910,4910,3,NA
213,0213,2,NA
3111,3111,2,NA
4006,4006,2,NA
4308,4308,2,NA
4814,4814,2,NA
112,0112,1,NA
113,0113,1,NA
114,0114,1,NA
214,0214,1,NA
215,0215,1,NA
410,0410,1,NA
511,0511,1,NA
815,0815,1,NA
910,0910,1,NA
1111,1111,1,NA
1202,1202,1,NA
1412,1412,1,NA
1617,1617,1,NA
1618,1618,1,NA
1808,1808,1,NA
1906,1906,1,NA
2108,2108,1,NA
2208,2208,1,NA
2209,2209,1,NA
2408,2408,1,NA
2409,2409,1,NA
2704,2704,1,NA
2907,2907,1,NA
3112,3112,1,NA
3113,3113,1,NA
3719,3719,1,NA
4408,4408,1,NA
4409,4409,1,NA
4410,4410,1,NA
4609,4609,1,NA
4815,4815,1,NA
4911,4911,1,NA
