code_num,code_raw,freq,label_text
3710,3710,27924,NA
4205,4205,25392,NA
3010,3010,25098,NA
4107,4107,23877,NA
3711,3711,22085,NA
3011,3011,19333,NA
3712,3712,16670,NA
4206,4206,16190,NA
3012,3012,14746,NA
4108,4108,14106,NA
4003,4003,12530,NA
1609,1609,12197,NA
3713,3713,11897,NA
1506,1506,11860,NA
2011,2011,11270,NA
3013,3013,10906,NA
3106,3106,9901,NA
206,0206,9800,NA
108,0108,9404,NA
2904,2904,9042,NA
4207,4207,8955,NA
506,0506,8928,NA
4806,4806,8411,NA
3714,3714,8062,NA
704,0704,7982,NA
4109,4109,7943,NA
3014,3014,7813,NA
4706,4706,7636,NA
5005,5005,7014,NA
1804,1804,6985,NA
3606,3606,6093,NA
1107,1107,5410,NA
3015,3015,5382,NA
2105,2105,5364,NA
4904,4904,5097,NA
3715,3715,5057,NA
1610,1610,4904,NA
4603,4603,4781,NA
4208,4208,4251,NA
4110,4110,4245,NA
2305,2305,4243,NA
5006,5006,4033,NA
2012,2012,3661,NA
3016,3016,3649,NA
3904,3904,3591,NA
407,0407,3382,NA
907,0907,3142,NA
3716,3716,3078,NA
305,0305,2887,NA
2405,2405,2817,NA
810,0810,2647,NA
4305,4305,2597,NA
4807,4807,2498,NA
3107,3107,2489,NA
4707,4707,2382,NA
3017,3017,2361,NA
1703,1703,2325,NA
4111,4111,2288,NA
5007,5007,2270,NA
3404,3404,2149,NA
1404,1404,2145,NA
4004,4004,2107,NA
1611,1611,2031,NA
4406,4406,2015,NA
207,0207,1977,NA
2205,2205,1927,NA
1507,1507,1925,NA
4209,4209,1908,NA
3717,3717,1773,NA
507,0507,1764,NA
3018,3018,1511,NA
109,0109,1377,NA
3503,3503,1305,NA
4112,4112,1271,NA
2013,2013,1199,NA
3802,3802,1164,NA
4905,4905,1149,NA
3607,3607,1136,NA
4604,4604,1128,NA
5008,5008,1123,NA
2905,2905,1003,NA
3718,3718,979,NA
1805,1805,907,NA
4708,4708,887,NA
4210,4210,805,NA
4808,4808,793,NA
4113,4113,698,NA
1405,1405,695,NA
1612,1612,659,NA
1002,1002,650,NA
1108,1108,606,NA
5009,5009,596,NA
3108,3108,546,NA
208,0208,471,NA
603,0603,442,NA
2014,2014,418,NA
4605,4605,410,NA
1406,1406,408,NA
811,0811,378,NA
4114,4114,361,NA
4211,4211,337,NA
4906,4906,293,NA
1407,1407,287,NA
1905,1905,280,NA
4809,4809,268,NA
2106,2106,264,NA
508,0508,257,NA
408,0408,251,NA
2206,2206,233,NA
908,0908,226,NA
4306,4306,223,NA
4709,4709,218,NA
3905,3905,216,NA
2306,2306,207,NA
3304,3304,205,NA
4115,4115,203,NA
1613,1613,192,NA
4005,4005,186,NA
2015,2015,178,NA
1408,1408,174,NA
1704,1704,173,NA
110,0110,165,NA
2703,2703,158,NA
3608,3608,157,NA
4407,4407,149,NA
3204,3204,143,NA
1508,1508,134,NA
1806,1806,134,NA
209,0209,133,NA
4212,4212,131,NA
3109,3109,125,NA
4606,4606,121,NA
705,0705,118,NA
2804,2804,112,NA
4116,4116,106,NA
2016,2016,105,NA
2906,2906,105,NA
4810,4810,99,NA
1409,1409,90,NA
4710,4710,88,NA
4907,4907,86,NA
1109,1109,85,NA
812,0812,82,NA
3719,3719,81,NA
4117,4117,63,NA
1614,1614,60,NA
2017,2017,60,NA
4213,4213,56,NA
1003,1003,51,NA
2406,2406,50,NA
1410,1410,48,NA
3405,3405,47,NA
210,0210,45,NA
509,0509,40,NA
3019,3019,39,NA
2018,2018,37,NA
4811,4811,36,NA
4711,4711,35,NA
111,0111,34,NA
4607,4607,34,NA
4118,4118,33,NA
409,0409,28,NA
813,0813,28,NA
3110,3110,28,NA
4307,4307,28,NA
1807,1807,27,NA
909,0909,25,NA
3720,3720,25,NA
2207,2207,24,NA
4214,4214,23,NA
306,0306,22,NA
1411,1411,22,NA
4502,4502,20,NA
4908,4908,19,NA
1705,1705,18,NA
4712,4712,15,NA
211,0211,14,NA
510,0510,13,NA
1302,1302,13,NA
4608,4608,13,NA
1110,1110,12,NA
1615,1615,12,NA
212,0212,11,NA
4812,4812,11,NA
814,0814,10,NA
1509,1509,10,NA
2107,2107,10,NA
3020,3020,10,NA
