code_num,code_raw,freq,label_text
3710,3710,19127,NA
4205,4205,17553,NA
3010,3010,16665,NA
4107,4107,15401,NA
3711,3711,14359,NA
3011,3011,12414,NA
4206,4206,10311,NA
3712,3712,9940,NA
3012,3012,9020,NA
4003,4003,8485,NA
4108,4108,8226,NA
1609,1609,8203,NA
1506,1506,7564,NA
108,0108,7372,NA
206,0206,7147,NA
2011,2011,6856,NA
3106,3106,6809,NA
3013,3013,6426,NA
3713,3713,6275,NA
506,0506,5881,NA
4706,4706,5753,NA
4806,4806,5717,NA
5005,5005,5519,NA
2904,2904,5394,NA
4207,4207,5091,NA
704,0704,4986,NA
3014,3014,4280,NA
1107,1107,4269,NA
1804,1804,4097,NA
4109,4109,3912,NA
3714,3714,3669,NA
2105,2105,3575,NA
4904,4904,3557,NA
1610,1610,3298,NA
5006,5006,3217,NA
3606,3606,3103,NA
3015,3015,2774,NA
4603,4603,2724,NA
4305,4305,2200,NA
2305,2305,2156,NA
2012,2012,2136,NA
810,0810,2092,NA
3904,3904,2066,NA
3715,3715,2018,NA
4707,4707,1861,NA
4208,4208,1860,NA
1404,1404,1843,NA
4110,4110,1788,NA
407,0407,1765,NA
3016,3016,1709,NA
5007,5007,1620,NA
907,0907,1542,NA
3107,3107,1540,NA
207,0207,1509,NA
4807,4807,1496,NA
2405,2405,1493,NA
4406,4406,1414,NA
2205,2205,1407,NA
1611,1611,1386,NA
1507,1507,1346,NA
3404,3404,1148,NA
305,0305,1124,NA
109,0109,1119,NA
507,0507,1046,NA
3716,3716,1024,NA
4004,4004,952,NA
3017,3017,930,NA
1703,1703,866,NA
4111,4111,820,NA
4905,4905,778,NA
5008,5008,741,NA
3802,3802,703,NA
2013,2013,694,NA
4708,4708,689,NA
4209,4209,654,NA
3503,3503,594,NA
1405,1405,580,NA
3018,3018,555,NA
3717,3717,526,NA
4604,4604,506,NA
1612,1612,501,NA
2905,2905,467,NA
3607,3607,462,NA
1108,1108,460,NA
1805,1805,433,NA
4808,4808,389,NA
5009,5009,367,NA
4112,4112,332,NA
1002,1002,312,NA
208,0208,297,NA
1406,1406,295,NA
3108,3108,282,NA
3718,3718,255,NA
4306,4306,255,NA
811,0811,236,NA
1905,1905,208,NA
2106,2106,195,NA
2014,2014,192,NA
1407,1407,188,NA
1613,1613,185,NA
4210,4210,184,NA
2703,2703,183,NA
4709,4709,172,NA
4906,4906,170,NA
4605,4605,164,NA
4113,4113,156,NA
408,0408,138,NA
2206,2206,131,NA
1508,1508,129,NA
1704,1704,117,NA
110,0110,112,NA
4809,4809,111,NA
1408,1408,110,NA
3304,3304,102,NA
908,0908,92,NA
3905,3905,91,NA
508,0508,90,NA
3019,3019,78,NA
4114,4114,76,NA
705,0705,75,NA
3204,3204,75,NA
2306,2306,68,NA
1614,1614,62,NA
209,0209,61,NA
4710,4710,55,NA
1409,1409,52,NA
4407,4407,52,NA
1109,1109,49,NA
2015,2015,49,NA
4211,4211,49,NA
4005,4005,48,NA
3109,3109,46,NA
1806,1806,44,NA
4907,4907,44,NA
2906,2906,40,NA
4502,4502,36,NA
4606,4606,36,NA
603,0603,35,NA
2406,2406,35,NA
812,0812,33,NA
4115,4115,32,NA
3608,3608,31,NA
4810,4810,29,NA
3719,3719,26,NA
4307,4307,21,NA
111,0111,19,NA
3405,3405,18,NA
4711,4711,18,NA
4116,4116,16,NA
1615,1615,14,NA
2207,2207,13,NA
1410,1410,12,NA
306,0306,11,NA
1003,1003,11,NA
2107,2107,11,NA
2503,2503,11,NA
210,0210,10,NA
1509,1509,10,NA
2016,2016,10,NA
1705,1705,9,NA
2804,2804,9,NA
4212,4212,9,NA
4607,4607,9,NA
4811,4811,9,NA
409,0409,8,NA
3110,3110,7,NA
4117,4117,7,NA
4712,4712,7,NA
909,0909,6,NA
1110,1110,6,NA
1807,1807,6,NA
4908,4908,6,NA
813,0813,5,NA
2017,2017,5,NA
2603,2603,5,NA
509,0509,4,NA
706,0706,4,NA
4006,4006,4,NA
4118,4118,4,NA
4608,4608,4,NA
2407,2407,3,NA
3906,3906,3,NA
4812,4812,3,NA
112,0112,2,NA
211,0211,2,NA
1004,1004,2,NA
1302,1302,2,NA
1616,1616,2,NA
2018,2018,2,NA
2704,2704,2,NA
4408,4408,2,NA
910,0910,1,NA
1111,1111,1,NA
1411,1411,1,NA
1412,1412,1,NA
1510,1510,1,NA
1617,1617,1,NA
1618,1618,1,NA
1808,1808,1,NA
1809,1809,1,NA
1906,1906,1,NA
2108,2108,1,NA
2208,2208,1,NA
2307,2307,1,NA
2408,2408,1,NA
3504,3504,1,NA
3609,3609,1,NA
3803,3803,1,NA
4213,4213,1,NA
4503,4503,1,NA
4609,4609,1,NA
4713,4713,1,NA
