code_num,code_raw,freq,label_text
3710,3710,19208,NA
4205,4205,17681,NA
3010,3010,16402,NA
4107,4107,15146,NA
3711,3711,14287,NA
3011,3011,12097,NA
4206,4206,10354,NA
3712,3712,9788,NA
3012,3012,8777,NA
4003,4003,8124,NA
1609,1609,8030,NA
4108,4108,7899,NA
1506,1506,7037,NA
108,0108,6928,NA
2011,2011,6900,NA
206,0206,6652,NA
3106,3106,6595,NA
3013,3013,6218,NA
3713,3713,5987,NA
4806,4806,5876,NA
506,0506,5761,NA
4706,4706,5561,NA
2904,2904,5461,NA
5005,5005,5104,NA
4207,4207,5068,NA
704,0704,4740,NA
1107,1107,4269,NA
3014,3014,4020,NA
1804,1804,3957,NA
4109,4109,3786,NA
4904,4904,3359,NA
3714,3714,3326,NA
2105,2105,3260,NA
3606,3606,3183,NA
1610,1610,3167,NA
4603,4603,2901,NA
5006,5006,2775,NA
3015,3015,2555,NA
2305,2305,2507,NA
2012,2012,2086,NA
3904,3904,2002,NA
810,0810,1911,NA
4208,4208,1867,NA
407,0407,1840,NA
4110,4110,1767,NA
3715,3715,1752,NA
4305,4305,1731,NA
4707,4707,1721,NA
1404,1404,1613,NA
3016,3016,1589,NA
907,0907,1545,NA
2405,2405,1486,NA
4807,4807,1453,NA
305,0305,1429,NA
3107,3107,1326,NA
5007,5007,1321,NA
207,0207,1291,NA
2205,2205,1287,NA
1507,1507,1246,NA
1611,1611,1234,NA
4406,4406,1174,NA
3404,3404,1140,NA
109,0109,1062,NA
507,0507,1052,NA
1703,1703,1010,NA
3017,3017,907,NA
3716,3716,884,NA
3802,3802,877,NA
4004,4004,870,NA
4111,4111,802,NA
4905,4905,729,NA
4209,4209,663,NA
2013,2013,640,NA
4708,4708,614,NA
5008,5008,605,NA
4604,4604,603,NA
3503,3503,544,NA
3018,3018,513,NA
1405,1405,504,NA
1805,1805,493,NA
2905,2905,490,NA
1002,1002,479,NA
3607,3607,454,NA
1612,1612,439,NA
3717,3717,423,NA
1108,1108,406,NA
4808,4808,356,NA
4112,4112,328,NA
5009,5009,299,NA
1406,1406,292,NA
3108,3108,258,NA
208,0208,254,NA
811,0811,250,NA
1905,1905,226,NA
4210,4210,208,NA
2014,2014,187,NA
3718,3718,182,NA
1407,1407,173,NA
4605,4605,170,NA
4113,4113,159,NA
3204,3204,158,NA
1613,1613,155,NA
4906,4906,152,NA
2106,2106,147,NA
1704,1704,144,NA
2206,2206,137,NA
4306,4306,136,NA
4709,4709,135,NA
508,0508,130,NA
110,0110,124,NA
2306,2306,124,NA
2703,2703,124,NA
408,0408,116,NA
1408,1408,116,NA
1508,1508,112,NA
4809,4809,104,NA
3905,3905,91,NA
812,0812,70,NA
908,0908,68,NA
4114,4114,63,NA
1409,1409,60,NA
4211,4211,60,NA
603,0603,56,NA
3019,3019,52,NA
3304,3304,52,NA
2015,2015,51,NA
209,0209,48,NA
1806,1806,48,NA
4606,4606,48,NA
2906,2906,42,NA
705,0705,41,NA
4907,4907,39,NA
4005,4005,38,NA
4710,4710,35,NA
1614,1614,34,NA
1109,1109,33,NA
4407,4407,32,NA
4810,4810,32,NA
3109,3109,31,NA
4115,4115,31,NA
813,0813,26,NA
3405,3405,25,NA
2406,2406,24,NA
1003,1003,23,NA
111,0111,21,NA
3608,3608,21,NA
4502,4502,21,NA
509,0509,20,NA
4212,4212,20,NA
2207,2207,18,NA
4607,4607,18,NA
4307,4307,14,NA
210,0210,13,NA
4116,4116,13,NA
4711,4711,13,NA
814,0814,12,NA
1410,1410,11,NA
4811,4811,11,NA
4908,4908,11,NA
2016,2016,10,NA
409,0409,9,NA
1509,1509,9,NA
1705,1705,9,NA
306,0306,8,NA
4213,4213,7,NA
1615,1615,6,NA
2307,2307,6,NA
3719,3719,6,NA
4608,4608,6,NA
2503,2503,5,NA
4117,4117,5,NA
112,0112,4,NA
909,0909,4,NA
2208,2208,4,NA
2804,2804,4,NA
4712,4712,4,NA
815,0815,3,NA
1110,1110,3,NA
1616,1616,3,NA
1807,1807,3,NA
2107,2107,3,NA
2603,2603,3,NA
4812,4812,3,NA
706,0706,2,NA
1906,1906,2,NA
2017,2017,2,NA
3110,3110,2,NA
3906,3906,2,NA
4214,4214,2,NA
4308,4308,2,NA
4609,4609,2,NA
4713,4713,2,NA
211,0211,1,NA
604,0604,1,NA
1004,1004,1,NA
1411,1411,1,NA
1510,1510,1,NA
2209,2209,1,NA
3504,3504,1,NA
3609,3609,1,NA
4006,4006,1,NA
4118,4118,1,NA
4309,4309,1,NA
4408,4408,1,NA
4409,4409,1,NA
4410,4410,1,NA
4610,4610,1,NA
4611,4611,1,NA
4714,4714,1,NA
4813,4813,1,NA
4909,4909,1,NA
